sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,raw_CEP_HR,AMP_CEP_HR,BP_CEP_HR,Median_CEP_HR,Wavelet_CEP_HR,AMP->BP_CEP_HR,AMP->Median_CEP_HR,AMP->Wavelet_CEP_HR,BP->AMP_CEP_HR,BP->Median_CEP_HR,BP->Wavelet_CEP_HR,Median->AMP_CEP_HR,Median->BP_CEP_HR,Median->Wavelet_CEP_HR,Wavelet->AMP_CEP_HR,Wavelet->BP_CEP_HR,Wavelet->Median_CEP_HR,best_filter
sample_20,98.0,"[3.62, 33.62]",77.19726562500028,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,125.00000000000045,42.85714285714301,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_21,95.0,"[28.56, 58.56]",88.91601562499874,49.99999999999929,49.99999999999929,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,149.99999999999787,149.99999999999787,Median
sample_22,92.0,"[0.29, 30.29]",77.78320312500028,50.00000000000018,60.00000000000021,55.0000000000002,100.00000000000036,125.00000000000045,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,87.50000000000031,150.00000000000054,100.00000000000036,42.85714285714301,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,BP->Median
sample_23,115.0,"[4.81, 34.81]",73.38867187500027,60.00000000000021,75.00000000000027,60.00000000000021,75.00000000000027,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,60.00000000000021,75.00000000000027,60.00000000000021,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,AMP->Wavelet
sample_24,95.0,"[3.27, 33.27]",73.97460937500027,50.00000000000018,60.00000000000021,50.00000000000018,100.00000000000036,125.00000000000045,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,125.00000000000045,50.00000000000018,150.00000000000054,Median
sample_25,93.0,"[3.03, 33.03]",54.63867187500019,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,125.00000000000045,50.00000000000018,150.00000000000054,Median
sample_26,80.0,"[21.44, 51.44]",76.90429687500028,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,BP->AMP
sample_27,95.0,"[0.00, 30.00]",70.75195312500026,60.00000000000021,60.00000000000021,60.00000000000021,87.50000000000031,100.00000000000036,55.0000000000002,87.50000000000031,150.00000000000054,60.00000000000021,75.00000000000027,100.00000000000036,87.50000000000031,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,Wavelet
sample_28,100.0,"[22.87, 52.87]",81.1523437500003,50.00000000000018,50.00000000000018,50.00000000000018,87.50000000000031,150.00000000000054,50.00000000000018,87.50000000000031,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,125.00000000000045,50.00000000000018,150.00000000000054,Median->AMP
sample_29,92.0,"[0.81, 30.81]",50.97656250000018,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,125.00000000000045,50.00000000000018,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,Median
sample_30,100.0,"[24.96, 54.96]",103.56445312499854,49.99999999999929,49.99999999999929,49.99999999999929,99.99999999999858,149.99999999999787,49.99999999999929,99.99999999999858,149.99999999999787,49.99999999999929,99.99999999999858,99.99999999999858,99.99999999999858,42.85714285714225,99.99999999999858,149.99999999999787,49.99999999999929,149.99999999999787,Median
sample_31,96.0,"[17.15, 47.15]",60.64453125000021,50.00000000000018,50.00000000000018,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,100.00000000000036,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_32,96.0,"[13.20, 43.20]",53.027343750000185,50.00000000000018,50.00000000000018,50.00000000000018,87.50000000000031,150.00000000000054,50.00000000000018,87.50000000000031,150.00000000000054,50.00000000000018,100.00000000000036,150.00000000000054,75.00000000000027,42.85714285714301,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median->Wavelet
sample_33,95.0,"[24.43, 54.43]",71.63085937500026,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,75.00000000000027,150.00000000000054,75.00000000000027,50.00000000000018,100.00000000000036,150.00000000000054,50.00000000000018,150.00000000000054,Median
sample_34,94.0,"[24.35, 54.35]",74.36816406241087,42.999999999948464,55.1833333332672,50.166666666606545,75.24999999990982,150.49999999981964,50.166666666606545,75.24999999990982,150.49999999981964,60.199999999927854,87.79166666656145,150.49999999981964,75.24999999990982,42.999999999948464,100.33333333321309,150.49999999981964,50.166666666606545,150.49999999981964,BP->Median
