sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,raw_CEP_HR,AMP_CEP_HR,BP_CEP_HR,Median_CEP_HR,Wavelet_CEP_HR,AMP->BP_CEP_HR,AMP->Median_CEP_HR,AMP->Wavelet_CEP_HR,BP->AMP_CEP_HR,BP->Median_CEP_HR,BP->Wavelet_CEP_HR,Median->AMP_CEP_HR,Median->BP_CEP_HR,Median->Wavelet_CEP_HR,Wavelet->AMP_CEP_HR,Wavelet->BP_CEP_HR,Wavelet->Median_CEP_HR,best_filter
sample_15,65.0,"[13.27, 43.27]",67.38281250000024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,75.00000000000027,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,125.00000000000045,50.00000000000018,100.00000000000036,raw
sample_16,66.0,"[2.04, 32.04]",84.0820312500003,50.00000000000018,50.00000000000018,50.00000000000018,75.00000000000027,50.00000000000018,50.00000000000018,75.00000000000027,100.00000000000036,50.00000000000018,100.00000000000036,50.00000000000018,75.00000000000027,50.00000000000018,100.00000000000036,87.50000000000031,50.00000000000018,100.00000000000036,Median
sample_17,68.0,"[1.16, 31.16]",61.96289062500023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,42.85714285714301,100.00000000000036,75.00000000000027,75.00000000000027,100.00000000000036,Wavelet->BP
sample_18,65.0,"[16.66, 46.66]",65.18554687500023,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,150.00000000000054,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,150.00000000000054,100.00000000000036,42.85714285714301,100.00000000000036,125.00000000000045,150.00000000000054,150.00000000000054,raw
sample_19,63.0,"[1.54, 31.54]",66.50390625000024,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,75.00000000000027,50.00000000000018,125.00000000000045,100.00000000000036,60.00000000000021,100.00000000000036,raw
sample_20,67.0,"[16.67, 46.67]",65.77148437500024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,100.00000000000036,50.00000000000018,100.00000000000036,raw
sample_21,67.0,"[23.82, 53.82]",64.45312500000023,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,60.00000000000021,75.00000000000027,100.00000000000036,75.00000000000027,46.428571428571594,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,raw
sample_22,61.0,"[15.10, 45.10]",66.65039062500024,60.00000000000021,60.00000000000021,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,100.00000000000036,100.00000000000036,60.00000000000021,100.00000000000036,87.50000000000031,50.00000000000018,100.00000000000036,raw
sample_23,64.0,"[25.94, 55.94]",67.82226562499903,49.99999999999929,59.99999999999915,49.99999999999929,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,59.99999999999915,99.99999999999858,99.99999999999858,99.99999999999858,49.99999999999929,99.99999999999858,99.99999999999858,149.99999999999787,124.99999999999822,AMP
sample_24,55.0,"[0.86, 30.86]",62.98828125000023,60.00000000000021,60.00000000000021,60.00000000000021,87.50000000000031,100.00000000000036,60.00000000000021,87.50000000000031,125.00000000000045,60.00000000000021,87.50000000000031,125.00000000000045,87.50000000000031,50.00000000000018,100.00000000000036,100.00000000000036,150.00000000000054,150.00000000000054,Median->BP
