sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,ABP_HR,EMD_HR,ROS_HR,LEN_HR,ABP→EMD_HR,ABP→ROS_HR,ABP→LEN_HR,EMD→ABP_HR,EMD→ROS_HR,EMD→LEN_HR,ROS→ABP_HR,ROS→EMD_HR,ROS→LEN_HR,LEN→ABP_HR,LEN→EMD_HR,LEN→ROS_HR
sample_33,93.0,"[29.51, 59.51]",122.52121475412724,29.51,59.51,122.06347671644059,122.06347671644059,122.06347671644059,122.67379410002279,64.6936426597135,122.06347671644059,122.06347671644059,120.23252456569398,122.06347671644059,122.06347671644059,120.23252456569398,122.67379410002279,122.06347671644059,122.06347671644059,64.0833252761313,121.45315933285838,121.45315933285838
sample_34,88.0,"[17.85, 47.85]",128.03124057186332,17.85,47.85,72.02711030979677,72.02711030979677,126.96304190201462,73.24790878962384,128.18384038184172,72.02711030979677,72.02711030979677,70.8063118299697,126.96304190201462,126.96304190201462,128.18384038184172,73.24790878962384,128.18384038184172,128.18384038184172,128.18384038184172,128.18384038184172,128.18384038184172
sample_35,86.0,"[24.83, 54.83]",133.40315863430783,24.83,54.83,130.04518438950834,130.04518438950834,129.4346436177266,131.26626593307176,130.04518438950834,130.04518438950834,130.04518438950834,129.4346436177266,129.4346436177266,129.4346436177266,129.4346436177266,131.26626593307176,130.65572516129004,130.65572516129004,130.04518438950834,129.4346436177266,130.04518438950834
sample_36,81.0,"[29.65, 59.65]",118.0897859852484,29.65,59.65,117.78464441939504,118.39492755110176,117.78464441939504,119.00521068280847,119.00521068280847,117.78464441939504,118.39492755110176,120.22577694622187,117.78464441939504,117.78464441939504,119.61549381451516,119.00521068280847,119.00521068280847,120.22577694622187,119.00521068280847,118.39492755110176,119.61549381451516
sample_37,91.0,"[12.65, 42.65]",126.46242053382156,12.65,42.65,125.0894871384001,125.0894871384001,124.47929451821278,126.30987237877474,124.47929451821278,124.47929451821278,125.0894871384001,124.47929451821278,124.47929451821278,124.47929451821278,124.47929451821278,126.30987237877474,125.0894871384001,125.0894871384001,124.47929451821278,123.86910189802546,123.86910189802546
sample_38,77.0,"[1.90, 31.90]",130.42159167473295,1.9,31.9,124.47253661588547,124.47253661588547,123.86237712267035,126.30301509553087,68.33786324009398,123.86237712267035,124.47253661588547,125.08269610910061,123.86237712267035,123.86237712267035,126.30301509553087,126.30301509553087,125.69285560231573,68.33786324009398,68.33786324009398,125.08269610910061,126.91317458874599
sample_39,83.0,"[18.09, 48.09]",134.8827991708606,18.09,48.09,179.43684595580552,130.61049331477,128.77950509073116,128.77950509073116,127.55884627470527,128.77950509073116,130.00016390675705,129.3898344987441,127.55884627470527,126.94851686669233,128.77950509073116,128.77950509073116,126.94851686669233,127.55884627470527,127.55884627470527,124.50719923464055,126.33818745867939
sample_40,78.0,"[12.88, 42.88]",128.0261528725784,12.88,42.88,179.450245265974,115.97124694059544,115.97124694059544,116.5816219244933,130.62024655414433,115.97124694059544,115.97124694059544,115.97124694059544,115.97124694059544,116.5816219244933,130.62024655414433,116.5816219244933,115.97124694059544,128.78912160245073,130.00987157024645,130.00987157024645,130.00987157024645
sample_41,85.0,"[28.09, 58.09]",123.13597634848564,28.09,58.09,179.43978709519098,69.57869295527813,123.28856120145774,123.28856120145774,71.40971119094334,69.57869295527813,70.18903236716653,71.40971119094334,123.28856120145774,123.28856120145774,115.35414884690849,123.28856120145774,122.67822178956933,72.02005060283174,71.40971119094334,115.35414884690849,71.40971119094334
sample_42,73.0,"[16.55, 46.55]",126.2060612965464,16.55,46.55,122.08566993619968,122.08566993619968,121.47524158651868,123.30652663556167,120.86481323683768,120.86481323683768,122.08566993619968,120.86481323683768,121.47524158651868,120.86481323683768,120.25438488715666,123.30652663556167,122.08566993619968,120.86481323683768,120.86481323683768,120.25438488715666,122.08566993619968
sample_43,79.0,"[0.64, 30.64]",69.42324607929916,0.64,30.64,123.89379300305696,68.96551039086421,122.0628502493172,129.99693551552284,125.72473575679672,68.96551039086421,68.96551039086421,68.96551039086421,122.0628502493172,122.0628502493172,125.72473575679672,129.99693551552284,128.16599276178306,126.3350500080433,125.11442150555013,124.50410725430356,125.72473575679672
sample_44,78.0,"[16.27, 46.27]",125.76558762029366,16.27,46.27,123.93404993650299,123.32353737523943,123.32353737523943,125.76558762029366,123.32353737523943,123.32353737523943,123.32353737523943,123.32353737523943,123.32353737523943,123.32353737523943,123.32353737523943,125.76558762029366,125.1550750590301,125.76558762029366,123.32353737523943,123.32353737523943,123.93404993650299
sample_45,81.0,"[4.39, 34.39]",127.37954381830068,4.39,34.39,69.56296045646121,69.56296045646121,115.32806601992253,68.95275904894841,69.56296045646121,69.56296045646121,69.56296045646121,68.95275904894841,115.32806601992253,115.32806601992253,114.10766320489691,68.95275904894841,124.48108713261479,69.56296045646121,69.56296045646121,114.10766320489691,69.56296045646121
sample_46,71.0,"[9.08, 39.08]",118.8448093506484,9.08,39.08,121.43834177550207,120.8280988520071,120.8280988520071,124.48955639297702,67.12672158444839,120.21785592851211,120.8280988520071,126.32028516346196,120.8280988520071,120.8280988520071,121.43834177550207,123.26907054598705,121.43834177550207,128.7612568574419,67.12672158444839,122.65882762249204,123.26907054598705
sample_47,84.0,"[11.79, 41.79]",66.8075659263506,11.79,41.79,68.33285281964628,68.33285281964628,126.90386952220022,126.90386952220022,125.68364000756367,68.33285281964628,68.33285281964628,67.722738062328,126.90386952220022,126.90386952220022,126.90386952220022,126.90386952220022,126.29375476488195,125.07352525024541,125.68364000756367,123.85329573560887,126.29375476488195
sample_48,78.0,"[11.85, 41.85]",117.87262452257286,11.85,41.85,120.15993288976378,119.54998399184622,119.54998399184622,120.76988178768138,129.91911525644514,118.94003509392864,119.54998399184622,128.08926856269238,118.94003509392864,119.54998399184622,129.30916635852753,120.15993288976378,120.15993288976378,130.5290641543627,129.30916635852753,128.69921746060996,128.69921746060996
sample_49,74.0,"[28.10, 58.10]",119.33459265143009,28.1,58.1,125.7438674485657,125.7438674485657,123.91264607795553,122.08142470734533,123.30223895441881,123.91264607795553,125.7438674485657,125.7438674485657,123.91264607795553,123.30223895441881,121.47101758380862,121.47101758380862,119.63979621319844,116.58776059551481,120.25020333673517,119.0293890896617,117.80857484258826
sample_50,75.0,"[29.45, 59.45]",114.75775535301186,29.45,59.45,125.13478642216718,125.13478642216718,123.91395923756066,122.69313205295417,124.52437282986392,123.91395923756066,125.13478642216718,124.52437282986392,123.91395923756066,123.91395923756066,124.52437282986392,122.69313205295417,120.8618912760444,123.30354564525743,124.52437282986392,124.52437282986392,124.52437282986392
sample_51,72.0,"[12.60, 42.60]",131.22436403227016,12.6,42.6,126.95194287773111,126.95194287773111,126.34159699851126,126.95194287773111,128.7829805153907,126.34159699851126,126.95194287773111,128.7829805153907,126.34159699851126,126.34159699851126,128.7829805153907,126.95194287773111,126.34159699851126,128.7829805153907,128.7829805153907,128.17263463617084,128.17263463617084
sample_52,77.0,"[21.29, 51.29]",129.0880252193346,21.29,51.29,125.12078094545436,125.731126218359,123.90009039964502,126.34147149126366,127.56216203707297,123.90009039964502,125.12078094545436,126.9518167641683,123.90009039964502,123.90009039964502,126.9518167641683,126.34147149126366,125.731126218359,126.9518167641683,127.56216203707297,126.9518167641683,127.56216203707297
sample_53,68.0,"[10.23, 40.23]",179.4847687759882,10.23,40.23,179.9422490702279,69.53700472544399,115.2850341500782,69.53700472544399,70.14697845110578,68.9270309997822,69.53700472544399,70.75695217676757,115.2850341500782,115.2850341500782,126.2645612119904,69.53700472544399,115.2850341500782,127.48450866331397,70.14697845110578,127.48450866331397,127.48450866331397
sample_54,93.0,"[9.33, 39.33]",124.9477556796393,9.33,39.33,124.4900715929007,124.4900715929007,123.87982614391588,124.4900715929007,123.26958069493107,123.87982614391588,124.4900715929007,122.04908979696145,123.87982614391588,123.87982614391588,122.04908979696145,124.4900715929007,124.4900715929007,123.26958069493107,123.26958069493107,123.26958069493107,123.87982614391588
sample_55,96.0,"[13.69, 43.69]",71.5986411458997,13.69,43.69,70.8353294066044,70.8353294066044,117.24468315575902,120.29793011294024,70.8353294066044,70.8353294066044,70.8353294066044,71.44597879804064,117.24468315575902,117.24468315575902,119.687280721504,119.687280721504,119.07663133006774,70.22468001516816,70.8353294066044,117.85533254719525,70.8353294066044
sample_56,93.0,"[23.51, 53.51]",121.24840972897628,23.51,53.51,67.80137773257617,67.80137773257617,119.11052844912028,119.72135167193628,68.41220095539217,67.80137773257617,67.80137773257617,69.02302417820817,119.11052844912028,119.11052844912028,117.88888200348828,119.72135167193628,119.11052844912028,120.33217489475227,67.80137773257617,118.49970522630427,119.11052844912028
sample_57,95.0,"[0.06, 30.06]",72.45006025109568,0.06,30.06,72.60258669372956,72.60258669372956,125.68178873032177,128.12221181246395,125.68178873032177,72.60258669372956,71.99248092319401,71.99248092319401,125.68178873032177,126.2918945008573,125.07168295978622,128.12221181246395,119.58073102496633,128.12221181246395,125.68178873032177,124.46157718925068,126.90200027139285
sample_58,91.0,"[17.08, 47.08]",122.06628579516271,17.08,47.08,123.89728008209013,123.89728008209013,123.28694865311432,123.89728008209013,123.28694865311432,123.28694865311432,123.89728008209013,123.89728008209013,123.28694865311432,123.28694865311432,123.28694865311432,123.89728008209013,123.28694865311432,123.28694865311432,123.28694865311432,123.28694865311432,123.89728008209013
sample_59,90.0,"[20.42, 50.42]",67.26574203062154,20.42,50.42,68.33345222158378,68.33345222158378,114.09246040568009,68.33345222158378,123.85438215162063,68.33345222158378,68.33345222158378,70.77393265806893,114.70258051480135,114.09246040568009,125.68474247898448,68.33345222158378,128.12522291546964,124.46450226074192,123.85438215162063,123.24426204249934,123.85438215162063
sample_60,84.0,"[22.01, 52.01]",178.69064941617629,22.01,52.01,128.7915526108051,128.7915526108051,128.7915526108051,128.7915526108051,128.18116610554063,128.7915526108051,128.7915526108051,128.18116610554063,128.7915526108051,128.7915526108051,128.18116610554063,128.7915526108051,128.18116610554063,128.18116610554063,128.18116610554063,128.18116610554063,128.18116610554063
sample_61,83.0,"[23.19, 53.19]",122.69286794249288,23.19,53.19,122.08245566417202,122.08245566417202,122.08245566417202,122.08245566417202,121.47204338585115,122.08245566417202,122.08245566417202,121.47204338585115,122.08245566417202,122.08245566417202,121.47204338585115,122.08245566417202,122.08245566417202,121.47204338585115,121.47204338585115,121.47204338585115,121.47204338585115
