sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,ABP_HR,EMD_HR,ROS_HR,LEN_HR,ABP→EMD_HR,ABP→ROS_HR,ABP→LEN_HR,EMD→ABP_HR,EMD→ROS_HR,EMD→LEN_HR,ROS→ABP_HR,ROS→EMD_HR,ROS→LEN_HR,LEN→ABP_HR,LEN→EMD_HR,LEN→ROS_HR
sample_23,64.0,"[25.94, 55.94]",67.82226562499903,25.94,55.94,78.51562499999888,78.51562499999888,79.10156249999888,77.92968749999889,66.79687499999905,78.51562499999888,77.92968749999889,68.55468749999903,79.10156249999888,70.89843749999899,67.96874999999903,77.92968749999889,79.10156249999888,66.79687499999905,66.79687499999905,67.38281249999903,70.312499999999
sample_24,55.0,"[0.86, 30.86]",62.98828125000023,0.86,30.86,64.45312500000023,64.45312500000023,63.86718750000023,64.45312500000023,63.86718750000023,65.03906250000023,63.86718750000023,63.86718750000023,63.86718750000023,62.10937500000023,63.28125000000023,64.45312500000023,120.70312500000043,63.86718750000023,63.86718750000023,63.86718750000023,63.28125000000023
sample_25,59.0,"[5.29, 35.29]",58.154296875000206,5.29,35.29,63.28125000000023,63.28125000000023,66.21093750000024,65.03906250000023,65.62500000000024,63.86718750000023,63.86718750000023,64.45312500000023,66.21093750000024,65.62500000000024,66.21093750000024,65.03906250000023,65.62500000000024,65.62500000000024,65.62500000000024,66.21093750000024,64.45312500000023
sample_26,63.0,"[11.35, 41.35]",63.42773437500023,11.35,41.35,64.45312500000023,64.45312500000023,64.45312500000023,64.45312500000023,64.45312500000023,64.45312500000023,64.45312500000023,65.03906250000023,64.45312500000023,65.03906250000023,65.03906250000023,64.45312500000023,64.45312500000023,64.45312500000023,65.03906250000023,65.03906250000023,64.45312500000023
sample_27,59.0,"[1.13, 31.13]",71.77734375000026,1.13,31.13,73.82812500000027,73.82812500000027,78.51562500000028,76.17187500000027,63.86718750000023,77.34375000000028,71.48437500000026,63.86718750000023,79.10156250000028,76.75781250000027,78.51562500000028,76.17187500000027,77.34375000000028,62.69531250000023,77.34375000000028,78.51562500000028,75.58593750000027
sample_28,59.0,"[29.62, 59.62]",66.65039062499905,29.62,59.62,63.86718749999909,63.86718749999909,129.49218749999815,63.86718749999909,65.03906249999908,64.45312499999908,63.86718749999909,52.734374999999254,129.49218749999815,128.90624999999815,129.49218749999815,63.86718749999909,128.90624999999815,51.56249999999927,65.03906249999908,129.49218749999815,65.62499999999906
sample_29,69.0,"[29.14, 59.14]",62.98828124999911,29.14,59.14,61.52343749999912,61.52343749999912,98.43749999999861,62.10937499999912,60.93749999999913,61.52343749999912,61.52343749999912,61.52343749999912,98.43749999999861,149.41406249999787,149.41406249999787,99.0234374999986,99.6093749999986,60.35156249999915,60.93749999999913,149.41406249999787,60.35156249999915
sample_30,63.0,"[8.39, 38.39]",88.33007812500031,8.39,38.39,63.86718750000023,63.86718750000023,87.89062500000031,65.62500000000024,65.03906250000023,64.45312500000023,63.86718750000023,63.86718750000023,87.89062500000031,65.62500000000024,65.62500000000024,65.62500000000024,86.13281250000031,66.21093750000024,65.03906250000023,66.21093750000024,66.21093750000024
sample_31,67.0,"[1.86, 31.86]",59.033203125000206,1.86,31.86,60.93750000000021,60.93750000000021,135.93750000000048,137.10937500000048,60.35156250000021,60.35156250000021,60.93750000000021,60.35156250000021,137.10937500000048,138.28125000000048,60.93750000000021,137.69531250000048,137.69531250000048,60.35156250000021,60.35156250000021,60.93750000000021,60.35156250000021
sample_32,66.0,"[28.43, 58.43]",61.81640624999912,28.43,58.43,60.93749999999913,60.93749999999913,61.52343749999912,61.52343749999912,61.52343749999912,61.52343749999912,60.93749999999913,59.76562499999915,61.52343749999912,62.695312499999105,60.35156249999915,61.52343749999912,62.10937499999912,60.93749999999913,61.52343749999912,62.10937499999912,61.52343749999912
