sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_42,101.0,"[15.11, 45.11]",99.46289062500036,15.11,45.11,60.00000000000021,60.00000000000021,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,90.00000000000031,45.000000000000156,90.00000000000031,90.00000000000031,45.000000000000156,45.000000000000156,45.000000000000156,52.500000000000185
sample_43,105.0,"[20.73, 50.73]",98.87695312500034,20.73,50.73,52.500000000000185,52.500000000000185,52.500000000000185,97.50000000000034,52.500000000000185,97.50000000000034,97.50000000000034,52.500000000000185,97.50000000000034,97.50000000000034,67.50000000000024,97.50000000000034,97.50000000000034,45.000000000000156,52.500000000000185,60.00000000000021,45.000000000000156
sample_44,101.0,"[9.98, 39.98]",51.708984375000185,9.98,39.98,60.00000000000021,60.00000000000021,60.00000000000021,75.00000000000027,82.5000000000003,60.00000000000021,75.00000000000027,45.000000000000156,60.00000000000021,90.00000000000031,82.5000000000003,75.00000000000027,75.00000000000027,45.000000000000156,82.5000000000003,82.5000000000003,82.5000000000003
sample_45,93.0,"[24.05, 54.05]",82.74560546865084,24.05,54.05,82.77499999990079,82.77499999990079,82.77499999990079,82.77499999990079,45.149999999945884,82.77499999990079,82.77499999990079,45.149999999945884,82.77499999990079,82.77499999990079,45.149999999945884,82.77499999990079,82.77499999990079,82.77499999990079,45.149999999945884,45.149999999945884,45.149999999945884
sample_46,98.0,"[2.28, 32.28]",114.5507812500004,2.28,32.28,60.00000000000021,60.00000000000021,112.5000000000004,75.00000000000027,45.000000000000156,112.5000000000004,75.00000000000027,45.000000000000156,112.5000000000004,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,127.50000000000045,45.000000000000156,45.000000000000156,45.000000000000156
sample_47,95.0,"[12.11, 42.11]",81.4453125000003,12.11,42.11,82.5000000000003,82.5000000000003,82.5000000000003,82.5000000000003,142.5000000000005,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,75.00000000000027,82.5000000000003,97.50000000000034,105.00000000000037,135.00000000000048,45.000000000000156
sample_48,98.0,"[10.46, 40.46]",96.09375000000034,10.46,40.46,75.00000000000027,97.50000000000034,75.00000000000027,97.50000000000034,45.000000000000156,97.50000000000034,97.50000000000034,45.000000000000156,97.50000000000034,97.50000000000034,45.000000000000156,97.50000000000034,97.50000000000034,90.00000000000031,45.000000000000156,45.000000000000156,45.000000000000156
sample_49,106.0,"[2.87, 32.87]",55.07812500000019,2.87,32.87,82.5000000000003,82.5000000000003,82.5000000000003,82.5000000000003,135.00000000000048,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,82.5000000000003,45.000000000000156,135.00000000000048,60.00000000000021
sample_50,91.0,"[0.52, 30.52]",61.37695312500021,0.52,30.52,75.00000000000027,75.00000000000027,75.00000000000027,82.5000000000003,52.500000000000185,75.00000000000027,82.5000000000003,45.000000000000156,75.00000000000027,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,90.00000000000031,45.000000000000156,52.500000000000185,45.000000000000156
sample_51,86.0,"[11.03, 41.03]",104.44335937500036,11.03,41.03,67.50000000000024,67.50000000000024,67.50000000000024,82.5000000000003,45.000000000000156,67.50000000000024,82.5000000000003,45.000000000000156,67.50000000000024,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,97.50000000000034,45.000000000000156,45.000000000000156,45.000000000000156
sample_52,103.0,"[1.04, 31.04]",54.96777343743314,1.04,31.04,52.674999999935935,52.674999999935935,52.674999999935935,90.29999999989018,45.14999999994509,52.674999999935935,90.29999999989018,52.674999999935935,52.674999999935935,90.29999999989018,45.14999999994509,90.29999999989018,90.29999999989018,45.14999999994509,45.14999999994509,45.14999999994509,45.14999999994509
sample_53,103.0,"[5.77, 35.77]",67.08984375000024,5.77,35.77,75.00000000000027,67.50000000000024,75.00000000000027,75.00000000000027,127.50000000000045,67.50000000000024,75.00000000000027,52.500000000000185,67.50000000000024,75.00000000000027,97.50000000000034,75.00000000000027,75.00000000000027,75.00000000000027,97.50000000000034,127.50000000000045,75.00000000000027
sample_54,92.0,"[2.78, 32.78]",77.49023437500028,2.78,32.78,97.50000000000034,75.00000000000027,97.50000000000034,82.5000000000003,105.00000000000037,75.00000000000027,82.5000000000003,45.000000000000156,75.00000000000027,82.5000000000003,105.00000000000037,82.5000000000003,82.5000000000003,82.5000000000003,105.00000000000037,105.00000000000037,45.000000000000156
sample_55,90.0,"[11.51, 41.51]",113.0859375000004,11.51,41.51,82.5000000000003,82.5000000000003,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,105.00000000000037,45.000000000000156,45.000000000000156,45.000000000000156
sample_56,85.0,"[5.92, 35.92]",65.33203125000023,5.92,35.92,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,45.000000000000156,67.50000000000024,75.00000000000027,45.000000000000156,67.50000000000024,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,90.00000000000031,45.000000000000156,45.000000000000156,45.000000000000156
sample_57,91.0,"[4.26, 34.26]",52.148437500000185,4.26,34.26,56.24999999999994,56.24999999999994,56.24999999999994,84.37499999999991,46.87499999999996,56.24999999999994,84.37499999999991,46.87499999999996,56.24999999999994,84.37499999999991,46.87499999999996,84.37499999999991,84.37499999999991,140.62499999999986,46.87499999999996,46.87499999999996,46.87499999999996
sample_58,94.0,"[6.35, 36.35]",83.7890625000003,6.35,36.35,60.00000000000021,60.00000000000021,60.00000000000021,82.5000000000003,142.5000000000005,60.00000000000021,82.5000000000003,45.000000000000156,60.00000000000021,82.5000000000003,142.5000000000005,82.5000000000003,82.5000000000003,75.00000000000027,90.00000000000031,142.5000000000005,45.000000000000156
sample_59,101.0,"[13.57, 43.57]",79.24804687500028,13.57,43.57,82.5000000000003,82.5000000000003,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,45.000000000000156,82.5000000000003,82.5000000000003,52.500000000000185,45.000000000000156,52.500000000000185,52.500000000000185
sample_60,87.0,"[2.40, 32.40]",67.23632812500024,2.4,32.4,67.50000000000024,67.50000000000024,67.50000000000024,90.00000000000031,45.000000000000156,67.50000000000024,90.00000000000031,45.000000000000156,67.50000000000024,90.00000000000031,52.500000000000185,90.00000000000031,90.00000000000031,82.5000000000003,45.000000000000156,45.000000000000156,45.000000000000156
sample_61,95.0,"[19.51, 49.51]",119.38476562500044,19.51,49.51,120.00000000000043,120.00000000000043,120.00000000000043,90.00000000000031,45.000000000000156,120.00000000000043,90.00000000000031,45.000000000000156,120.00000000000043,90.00000000000031,45.000000000000156,90.00000000000031,90.00000000000031,90.00000000000031,45.000000000000156,45.000000000000156,45.000000000000156
sample_62,107.0,"[13.68, 43.68]",53.75976562500019,13.68,43.68,52.500000000000185,52.500000000000185,52.500000000000185,75.00000000000027,52.500000000000185,52.500000000000185,75.00000000000027,45.000000000000156,52.500000000000185,67.50000000000024,52.500000000000185,82.5000000000003,75.00000000000027,142.5000000000005,52.500000000000185,60.00000000000021,45.000000000000156
sample_63,100.0,"[0.03, 30.03]",57.275390625000206,0.03,30.03,60.00000000000021,60.00000000000021,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,135.00000000000048,45.000000000000156,90.00000000000031,90.00000000000031,105.00000000000037,45.000000000000156,45.000000000000156,45.000000000000156
sample_64,91.0,"[2.06, 32.06]",72.50976562500026,2.06,32.06,90.00000000000031,90.00000000000031,90.00000000000031,90.00000000000031,52.500000000000185,90.00000000000031,90.00000000000031,52.500000000000185,90.00000000000031,90.00000000000031,52.500000000000185,90.00000000000031,90.00000000000031,97.50000000000034,67.50000000000024,60.00000000000021,45.000000000000156
sample_65,80.0,"[17.91, 47.91]",74.70703125000027,17.91,47.91,75.00000000000027,75.00000000000027,75.00000000000027,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,112.5000000000004,45.000000000000156,45.000000000000156,45.000000000000156
sample_66,98.0,"[4.73, 34.73]",58.886718750000206,4.73,34.73,60.00000000000021,60.00000000000021,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,90.00000000000031,45.000000000000156,60.00000000000021,90.00000000000031,45.000000000000156,90.00000000000031,90.00000000000031,90.00000000000031,45.000000000000156,45.000000000000156,45.000000000000156
sample_67,104.0,"[22.04, 52.04]",66.94335937500024,22.04,52.04,67.50000000000024,67.50000000000024,67.50000000000024,82.5000000000003,67.50000000000024,67.50000000000024,82.5000000000003,60.00000000000021,67.50000000000024,82.5000000000003,67.50000000000024,82.5000000000003,82.5000000000003,67.50000000000024,67.50000000000024,67.50000000000024,45.000000000000156
sample_68,104.0,"[2.07, 32.07]",69.72656250000026,2.07,32.07,75.00000000000027,75.00000000000027,75.00000000000027,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,45.000000000000156,45.000000000000156,52.500000000000185,52.500000000000185
sample_69,97.0,"[14.72, 44.72]",80.41992187500028,14.72,44.72,75.00000000000027,75.00000000000027,75.00000000000027,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,52.500000000000185,75.00000000000027,75.00000000000027,45.000000000000156,75.00000000000027,75.00000000000027,112.5000000000004,52.500000000000185,45.000000000000156,52.500000000000185
sample_70,115.0,"[23.49, 53.49]",58.593750000000206,23.49,53.49,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,120.00000000000043,67.50000000000024,75.00000000000027,135.00000000000048,67.50000000000024,75.00000000000027,120.00000000000043,75.00000000000027,75.00000000000027,82.5000000000003,97.50000000000034,120.00000000000043,60.00000000000021
sample_71,100.0,"[0.48, 30.48]",99.31640625000034,0.48,30.48,97.50000000000034,97.50000000000034,97.50000000000034,97.50000000000034,127.50000000000045,97.50000000000034,97.50000000000034,45.000000000000156,97.50000000000034,97.50000000000034,127.50000000000045,97.50000000000034,97.50000000000034,97.50000000000034,97.50000000000034,127.50000000000045,45.000000000000156
sample_72,95.0,"[7.62, 37.62]",75.3969726561583,7.62,37.62,75.24999999990848,75.24999999990848,75.24999999990848,75.24999999990848,97.82499999988103,75.24999999990848,75.24999999990848,45.14999999994509,75.24999999990848,75.24999999990848,97.82499999988103,75.24999999990848,75.24999999990848,75.24999999990848,90.29999999989018,97.82499999988103,82.77499999989932
sample_73,96.0,"[2.89, 32.89]",62.25585937500023,2.89,32.89,67.50000000000024,60.00000000000021,67.50000000000024,45.000000000000156,67.50000000000024,60.00000000000021,45.000000000000156,60.00000000000021,60.00000000000021,45.000000000000156,67.50000000000024,45.000000000000156,75.00000000000027,45.000000000000156,112.5000000000004,67.50000000000024,45.000000000000156
sample_74,99.0,"[28.68, 58.68]",73.09570312499896,28.68,58.68,56.249999999999204,56.249999999999204,56.249999999999204,93.74999999999866,46.87499999999933,56.249999999999204,93.74999999999866,46.87499999999933,56.249999999999204,93.74999999999866,56.249999999999204,84.3749999999988,93.74999999999866,84.3749999999988,46.87499999999933,56.249999999999204,46.87499999999933
sample_75,96.0,"[3.54, 33.54]",68.11523437500024,3.54,33.54,67.50000000000024,67.50000000000024,67.50000000000024,75.00000000000027,120.00000000000043,67.50000000000024,75.00000000000027,120.00000000000043,67.50000000000024,75.00000000000027,120.00000000000043,75.00000000000027,75.00000000000027,75.00000000000027,90.00000000000031,120.00000000000043,90.00000000000031
