sample_name,ECG_HR,seg_drscc,mmw_HR_drscc,start,end,raw_HR,AMP_HR,BP_HR,Median_HR,Wavelet_HR,AMP->BP_HR,AMP->Median_HR,AMP->Wavelet_HR,BP->AMP_HR,BP->Median_HR,BP->Wavelet_HR,Median->AMP_HR,Median->BP_HR,Median->Wavelet_HR,Wavelet->AMP_HR,Wavelet->BP_HR,Wavelet->Median_HR
sample_19,87.0,"[4.75, 34.75]",179.20157595703176,4.75,34.75,179.59810710383027,179.59810710383027,124.93781363744715,179.59810710383027,101.5119735804258,124.93781363744715,179.59810710383027,54.66029346638313,124.93781363744715,70.27752017106401,109.32058693276626,70.27752017106401,70.27752017106401,179.59810710383027,101.5119735804258,101.5119735804258,54.66029346638313
sample_20,87.0,"[23.38, 53.38]",175.46986843177262,23.38,53.38,133.0391755078527,133.0391755078527,133.0391755078527,62.606670827224804,117.38750780104651,133.0391755078527,62.606670827224804,117.38750780104651,133.0391755078527,70.4325046806279,117.38750780104651,62.606670827224804,62.606670827224804,70.4325046806279,117.38750780104651,117.38750780104651,46.9550031204186
sample_21,78.0,"[3.59, 33.59]",122.2361922000966,3.59,33.59,117.2002442068342,117.2002442068342,117.2002442068342,70.32014652410052,125.01359382062314,117.2002442068342,70.32014652410052,54.69344729652263,117.2002442068342,70.32014652410052,117.2002442068342,70.32014652410052,70.32014652410052,70.32014652410052,125.01359382062314,125.01359382062314,46.880097682733684
sample_22,87.0,"[23.07, 53.07]",131.82202403744756,23.07,53.07,132.9523635251383,132.9523635251383,132.9523635251383,70.38654539566147,132.9523635251383,132.9523635251383,70.38654539566147,109.49018172658451,132.9523635251383,70.38654539566147,117.31090899276911,70.38654539566147,70.38654539566147,62.56581812947686,132.9523635251383,132.9523635251383,62.56581812947686
sample_23,86.0,"[26.18, 56.18]",120.956466375743,26.18,56.18,117.29111890981136,117.29111890981136,117.29111890981136,70.37467134588682,117.29111890981136,117.29111890981136,70.37467134588682,101.65230305516985,117.29111890981136,70.37467134588682,117.29111890981136,70.37467134588682,70.37467134588682,70.37467134588682,109.47171098249059,117.29111890981136,46.91644756392454
sample_24,89.0,"[20.15, 50.15]",128.4121329629716,20.15,50.15,124.93493981385552,124.93493981385552,124.93493981385552,70.27590364529372,124.93493981385552,124.93493981385552,70.27590364529372,124.93493981385552,124.93493981385552,70.27590364529372,124.93493981385552,70.27590364529372,70.27590364529372,70.27590364529372,124.93493981385552,124.93493981385552,54.65903616856179
sample_25,90.0,"[8.31, 38.31]",126.78220681113122,8.31,38.31,124.98192998757966,124.98192998757966,124.98192998757966,70.30233561801356,132.79330061180337,124.98192998757966,70.30233561801356,132.79330061180337,124.98192998757966,70.30233561801356,132.79330061180337,70.30233561801356,70.30233561801356,70.30233561801356,132.79330061180337,132.79330061180337,54.6795943695661
sample_26,87.0,"[29.16, 59.16]",117.95980936940794,29.16,59.16,125.00992992939065,117.19680930880374,125.00992992939065,70.31808558528225,125.00992992939065,117.19680930880374,70.31808558528225,125.00992992939065,125.00992992939065,70.31808558528225,125.00992992939065,70.31808558528225,70.31808558528225,70.31808558528225,125.00992992939065,125.00992992939065,46.87872372352149
sample_27,76.0,"[4.27, 34.27]",131.21928024829558,4.27,34.27,179.67886560510797,124.99399346442293,124.99399346442293,70.3091213237379,54.68487214068503,124.99399346442293,70.3091213237379,54.68487214068503,124.99399346442293,70.3091213237379,124.99399346442293,70.3091213237379,70.3091213237379,70.3091213237379,46.872747549158596,54.68487214068503,54.68487214068503
sample_28,90.0,"[0.92, 30.92]",120.41449787541409,0.92,30.92,117.35829234558125,117.35829234558125,117.35829234558125,70.41497540734875,117.35829234558125,117.35829234558125,70.41497540734875,117.35829234558125,117.35829234558125,70.41497540734875,117.35829234558125,70.41497540734875,70.41497540734875,62.591089250976665,117.35829234558125,117.35829234558125,54.76720309460458
