sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_69,69.17124544478287,56.0,,"[20.40, 50.40]",123.38993036759507,,"[28.24, 58.24]",123.84749500431053,,"[28.24, 58.24]",123.84749500431053,,"[20.75, 50.75]",123.38993036759507,,"[27.72, 57.72]",123.84749500431053
sample_70,124.03010846420594,63.0,,"[30.00, 60.00]",177.86381798217735,,"[11.84, 41.84]",68.19529017267112,,"[11.84, 41.84]",68.19529017267112,,"[21.23, 51.23]",123.57372151375532,,"[13.58, 43.58]",68.19438705759089
sample_71,71.1913359550818,65.0,,"[30.00, 60.00]",123.35129966787387,,"[11.36, 41.36]",68.07051595187204,,"[11.36, 41.36]",68.07051595187204,,"[17.14, 47.14]",117.38702017138976,,"[14.83, 44.83]",117.08172232837359
sample_72,121.9538831277778,64.0,,"[17.85, 47.85]",121.32410106606542,,"[18.86, 48.86]",121.47321000533353,,"[18.86, 48.86]",121.47321000533353,,"[17.86, 47.86]",121.32410106606542,,"[18.99, 48.99]",121.47321000533353
sample_73,126.03241763330348,60.0,,"[15.40, 45.40]",125.25864281050738,,"[0.08, 30.08]",126.49016249284941,,"[0.08, 30.08]",126.49016249284941,,"[14.46, 44.46]",121.46216824418025,,"[0.55, 30.55]",126.49016249284941
sample_74,128.1268465111023,52.0,,"[30.00, 60.00]",70.66885369246965,,"[1.48, 31.48]",116.24867902809288,,"[1.48, 31.48]",116.24867902809288,,"[15.12, 45.12]",117.77836600045973,,"[0.00, 30.00]",116.24867902809288
sample_75,127.108717302442,55.0,,"[22.35, 52.35]",129.2399054089592,,"[23.71, 53.71]",129.08731992442455,,"[23.71, 53.71]",129.08731992442455,,"[11.00, 41.00]",65.91692932311041,,"[21.81, 51.81]",129.39249089350346
sample_76,68.5094760494555,54.0,,"[30.00, 60.00]",68.05172899344576,,"[29.95, 59.95]",68.05172899344576,,"[29.95, 59.95]",68.05172899344576,,"[23.97, 53.97]",115.4970578221136,,"[28.46, 58.46]",123.88852173257098
sample_77,115.72926877640984,85.0,,"[1.45, 31.45]",128.79059299082385,,"[17.03, 47.03]",116.41586298860238,,"[17.03, 47.03]",116.41586298860238,,"[27.49, 57.49]",115.65298053127209,,"[15.25, 45.25]",116.41913955028163
sample_78,127.61920622409993,81.0,,"[28.10, 58.10]",128.01368971758885,,"[5.76, 35.76]",72.3146124258142,,"[5.76, 35.76]",72.3146124258142,,"[24.96, 54.96]",128.01368971626243,,"[1.39, 31.39]",72.16204995234203
sample_79,122.77408922513864,79.0,,"[30.00, 60.00]",119.79459979088679,,"[0.89, 30.89]",129.11324991590607,,"[0.89, 30.89]",129.11324991590607,,"[10.17, 40.17]",123.3194731593314,,"[2.55, 32.55]",129.1132499159013
sample_80,129.1673765514145,80.0,,"[13.05, 43.05]",123.2926642097422,,"[15.55, 45.55]",68.36028906678776,,"[15.55, 45.55]",68.36028906678776,,"[10.63, 40.63]",122.68171542307726,,"[16.37, 46.37]",123.2926642097422
sample_81,130.21955126851662,78.0,,"[20.05, 50.05]",131.36272644588072,,"[2.62, 32.62]",129.83702695173577,,"[2.62, 32.62]",129.83702695173577,,"[17.78, 47.78]",131.36272644588558,,"[2.88, 32.88]",129.83702695173577
sample_82,131.22890501040288,77.0,,"[14.30, 44.30]",126.19337726000835,,"[14.47, 44.47]",126.193377260006,,"[14.47, 44.47]",126.193377260006,,"[6.24, 36.24]",124.97264325991154,,"[18.91, 48.91]",126.19337726000369
sample_83,127.3508675076542,83.0,,"[29.20, 59.20]",127.93967310227254,,"[6.58, 36.58]",125.90095136113496,,"[6.58, 36.58]",125.90095136113496,,"[16.14, 46.14]",124.53177563542047,,"[9.93, 39.93]",125.90528786668882
sample_84,118.31374545259943,79.0,,"[3.75, 33.75]",126.04418723322713,,"[30.00, 60.00]",124.78106546542105,,"[30.00, 60.00]",124.78106546542105,,"[13.36, 43.36]",177.8816602646428,,"[29.55, 59.55]",124.94432226005812
