sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_49,69.1406250000001,106.0,,"[20.45, 50.45]",120.55664062500043,,"[2.87, 32.87]",55.07812500000019,,"[2.87, 32.87]",55.07812500000019,,"[20.35, 50.35]",120.55664062500043,,"[5.20, 35.20]",55.3710937500002
sample_50,76.53808593750011,91.0,,"[25.05, 55.05]",56.6894531249992,,"[0.52, 30.52]",61.37695312500021,,"[0.52, 30.52]",61.37695312500021,,"[19.97, 49.97]",59.17968750000021,,"[0.00, 30.00]",61.37695312500021
sample_51,104.00390625000014,86.0,,"[30.00, 60.00]",103.27148437499854,,"[11.03, 41.03]",104.44335937500037,,"[11.03, 41.03]",104.44335937500037,,"[27.01, 57.01]",103.56445312499854,,"[8.89, 38.89]",75.58593750000027
sample_52,54.159423828059126,103.0,,"[17.60, 47.60]",56.878417968680814,,"[1.04, 31.04]",54.96777343743314,,"[1.04, 31.04]",54.96777343743314,,"[1.74, 31.74]",54.82080078118332,,"[0.00, 30.00]",55.11474609368296
sample_53,81.59179687500011,103.0,,"[19.70, 49.70]",81.4453125000003,,"[5.77, 35.77]",67.08984375000024,,"[5.77, 35.77]",67.08984375000024,,"[15.84, 45.84]",72.80273437500026,,"[6.94, 36.94]",67.23632812500024
sample_54,96.16699218750011,92.0,,"[21.90, 51.90]",91.99218750000033,,"[2.78, 32.78]",77.49023437500028,,"[2.78, 32.78]",77.49023437500028,,"[21.79, 51.79]",91.69921875000031,,"[0.00, 30.00]",95.94726562500034
sample_55,63.35449218750009,90.0,,"[12.25, 42.25]",85.98632812500031,,"[11.51, 41.51]",113.0859375000004,,"[11.51, 41.51]",113.0859375000004,,"[12.20, 42.20]",85.83984375000031,,"[10.31, 40.31]",113.0859375000004
sample_56,56.03027343750008,85.0,,"[30.00, 60.00]",118.65234374999831,,"[5.92, 35.92]",65.33203125000023,,"[5.92, 35.92]",65.33203125000023,,"[9.54, 39.54]",65.33203125000023,,"[3.12, 33.12]",69.43359375000026
sample_57,53.46679687500007,91.0,,"[27.05, 57.05]",54.05273437499923,,"[4.26, 34.26]",52.148437500000185,,"[4.26, 34.26]",52.148437500000185,,"[26.08, 56.08]",54.199218749999226,,"[6.35, 36.35]",52.294921875000185
sample_58,74.41406250000011,94.0,,"[0.65, 30.65]",55.9570312500002,,"[6.35, 36.35]",83.7890625000003,,"[6.35, 36.35]",83.7890625000003,,"[10.96, 40.96]",60.79101562500021,,"[6.59, 36.59]",83.7890625000003
sample_59,83.64257812500011,101.0,,"[20.30, 50.30]",68.99414062500024,,"[13.57, 43.57]",79.24804687500028,,"[13.57, 43.57]",79.24804687500028,,"[28.62, 58.62]",89.35546874999874,,"[12.28, 42.28]",79.24804687500028
sample_60,86.57226562500011,87.0,,"[2.45, 32.45]",67.23632812500024,,"[2.40, 32.40]",67.23632812500024,,"[2.40, 32.40]",67.23632812500024,,"[6.78, 36.78]",66.65039062500024,,"[3.16, 33.16]",67.23632812500024
sample_61,60.79101562500008,95.0,,"[1.20, 31.20]",61.23046875000021,,"[19.51, 49.51]",119.38476562500043,,"[19.51, 49.51]",119.38476562500043,,"[29.79, 59.79]",54.492187499999226,,"[19.04, 49.04]",56.8359375000002
sample_62,53.83300781250007,107.0,,"[29.25, 59.25]",103.56445312499854,,"[13.68, 43.68]",53.75976562500019,,"[13.68, 43.68]",53.75976562500019,,"[13.59, 43.59]",53.75976562500019,,"[9.99, 39.99]",53.46679687500019
sample_63,56.46972656250008,100.0,,"[17.05, 47.05]",67.82226562500024,,"[0.03, 30.03]",57.275390625000206,,"[0.03, 30.03]",57.275390625000206,,"[4.78, 34.78]",62.10937500000023,,"[0.00, 30.00]",57.275390625000206
sample_64,72.29003906250011,91.0,,"[3.05, 33.05]",72.36328125000026,,"[2.06, 32.06]",72.50976562500026,,"[2.06, 32.06]",72.50976562500026,,"[17.21, 47.21]",72.50976562500026,,"[2.51, 32.51]",72.50976562500026
sample_65,54.71191406250008,80.0,,"[28.35, 58.35]",106.2011718749985,,"[17.91, 47.91]",74.70703125000027,,"[17.91, 47.91]",74.70703125000027,,"[5.81, 35.81]",55.07812500000019,,"[18.69, 48.69]",74.56054687500027
sample_66,59.106445312500085,98.0,,"[23.85, 53.85]",102.24609375000036,,"[4.73, 34.73]",58.886718750000206,,"[4.73, 34.73]",58.886718750000206,,"[16.41, 46.41]",102.39257812500036,,"[4.34, 34.34]",58.886718750000206
sample_67,67.2363281250001,104.0,,"[6.45, 36.45]",67.38281250000024,,"[22.04, 52.04]",66.94335937500024,,"[22.04, 52.04]",66.94335937500024,,"[29.75, 59.75]",67.08984374999903,,"[21.02, 51.02]",66.94335937500024
